time,value
2023-04-24,101.35
2023-04-25,101.86
2023-04-26,101.47
2023-04-27,101.5
2023-04-28,101.67
2023-04-29,101.67
2023-04-30,101.67
2023-05-01,102.15
2023-05-02,101.96
2023-05-03,101.34
2023-05-04,101.4
2023-05-05,101.21
2023-05-06,101.21
2023-05-07,101.21
2023-05-08,101.37
2023-05-09,101.61
2023-05-10,101.48
2023-05-11,102.06
2023-05-12,102.68
2023-05-13,102.68
2023-05-14,102.68
2023-05-15,102.43
2023-05-16,102.56
2023-05-17,102.88
2023-05-18,103.58
2023-05-19,103.2
2023-05-20,103.2
2023-05-21,103.2
2023-05-22,103.2
2023-05-23,103.49
2023-05-24,103.89
2023-05-25,104.21
2023-05-26,104.21
2023-05-27,104.21
2023-05-28,104.21
2023-05-29,104.21
2023-05-30,104.17
2023-05-31,104.32
2023-06-01,103.56
2023-06-02,104.02
2023-06-03,104.02
2023-06-04,104.02
2023-06-05,104.0
2023-06-06,104.13
2023-06-07,104.1
2023-06-08,103.34
2023-06-09,103.56
2023-06-10,103.56
2023-06-11,103.56
2023-06-12,103.63
2023-06-13,103.34
2023-06-14,103.01
2023-06-15,102.12
2023-06-16,102.3
2023-06-17,102.3
2023-06-18,102.3
2023-06-19,102.3
2023-06-20,102.54
2023-06-21,102.07
2023-06-22,102.39
2023-06-23,102.9
2023-06-24,102.9
2023-06-25,102.9
2023-06-26,102.69
2023-06-27,102.49
2023-06-28,102.91
2023-06-29,103.34
2023-06-30,102.91
2023-07-01,102.91
2023-07-02,102.91
2023-07-03,102.99
2023-07-04,102.99
2023-07-05,103.37
2023-07-06,103.17
2023-07-07,102.27
2023-07-08,102.27
2023-07-09,102.27
2023-07-10,101.97
2023-07-11,101.73
2023-07-12,100.52
2023-07-13,99.77
2023-07-14,99.91
2023-07-15,99.91
2023-07-16,99.91
2023-07-17,99.84
2023-07-18,99.94
2023-07-19,100.28
2023-07-20,100.88
2023-07-21,101.07
2023-07-22,101.07
2023-07-23,101.07
2023-07-24,101.35
2023-07-25,101.35
2023-07-26,100.89
2023-07-27,101.77
2023-07-28,101.62
2023-07-29,101.62
2023-07-30,101.62
2023-07-31,101.86
2023-08-01,102.3
2023-08-02,102.59
2023-08-03,102.54
2023-08-04,102.02
2023-08-05,102.02
2023-08-06,102.02
2023-08-07,102.05
2023-08-08,102.53
2023-08-09,102.49
2023-08-10,102.52
2023-08-11,102.84
2023-08-12,102.84
2023-08-13,102.84
2023-08-14,103.19
2023-08-15,103.21
2023-08-16,103.42
2023-08-17,103.44
2023-08-18,103.38
2023-08-19,103.38
2023-08-20,103.38
2023-08-21,103.33
2023-08-22,103.56
2023-08-23,103.36
2023-08-24,103.98
2023-08-25,104.08
2023-08-26,104.08
2023-08-27,104.08
2023-08-28,104.06
2023-08-29,103.55
2023-08-30,103.16
2023-08-31,103.62
2023-09-01,104.24
2023-09-02,104.24
2023-09-03,104.24
2023-09-04,104.24
2023-09-05,104.81
2023-09-06,104.86
2023-09-07,105.06
2023-09-08,105.09
2023-09-09,105.09
2023-09-10,105.09
2023-09-11,104.57
2023-09-12,104.71
2023-09-13,104.77
2023-09-14,105.41
2023-09-15,105.32
2023-09-16,105.32
2023-09-17,105.32
2023-09-18,105.2
2023-09-19,105.2
2023-09-20,105.16
2023-09-21,105.36
2023-09-22,105.58
