time,value
2023-04-24,134.97
2023-04-25,134.44
2023-04-26,133.07
2023-04-27,134.6
2023-04-28,133.98
2023-04-29,133.98
2023-04-30,133.98
2023-05-01,133.35
2023-05-02,137.58
2023-05-03,137.84
2023-05-04,141.11
2023-05-05,140.59
2023-05-06,140.59
2023-05-07,140.59
2023-05-08,140.15
2023-05-09,140.06
2023-05-10,138.91
2023-05-11,133.46
2023-05-12,133.52
2023-05-13,133.52
2023-05-14,133.52
2023-05-15,134.68
2023-05-16,131.13
2023-05-17,130.26
2023-05-18,127.3
2023-05-19,127.84
2023-05-20,127.84
2023-05-21,127.84
2023-05-22,127.49
2023-05-23,126.87
2023-05-24,123.64
2023-05-25,121.12
2023-05-26,121.71
2023-05-27,121.71
2023-05-28,121.71
2023-05-29,121.71
2023-05-30,120.52
2023-05-31,122.39
2023-06-01,126.4
2023-06-02,125.34
2023-06-03,125.34
2023-06-04,125.34
2023-06-05,125.31
2023-06-06,125.74
2023-06-07,124.04
2023-06-08,125.49
2023-06-09,123.89
2023-06-10,123.89
2023-06-11,123.89
2023-06-12,123.9
2023-06-13,123.6
2023-06-14,123.3
2023-06-15,123.16
2023-06-16,124.25
2023-06-17,124.25
2023-06-18,124.25
2023-06-19,124.25
2023-06-20,119.63
2023-06-21,119.27
2023-06-22,118.95
2023-06-23,118.31
2023-06-24,118.31
2023-06-25,118.31
2023-06-26,119.46
2023-06-27,118.37
2023-06-28,116.62
2023-06-29,118.0
2023-06-30,120.03
2023-07-01,120.03
2023-07-02,120.03
2023-07-03,121.97
2023-07-04,121.97
2023-07-05,118.6
2023-07-06,115.68
2023-07-07,117.11
2023-07-08,117.11
2023-07-09,117.11
2023-07-10,119.64
2023-07-11,120.63
2023-07-12,126.98
2023-07-13,128.08
2023-07-14,127.15
2023-07-15,127.15
2023-07-16,127.15
2023-07-17,127.26
2023-07-18,129.65
2023-07-19,129.74
2023-07-20,126.71
2023-07-21,126.48
2023-07-22,126.48
2023-07-23,126.48
2023-07-24,126.31
2023-07-25,128.18
2023-07-26,127.64
2023-07-27,122.82
2023-07-28,124.27
2023-07-29,124.27
2023-07-30,124.27
2023-07-31,127.06
2023-08-01,122.56
2023-08-02,119.07
2023-08-03,118.45
2023-08-04,119.63
2023-08-05,119.63
2023-08-06,119.63
2023-08-07,118.75
2023-08-08,118.4
2023-08-09,117.89
2023-08-10,118.08
2023-08-11,119.28
2023-08-12,119.28
2023-08-13,119.28
2023-08-14,117.6
2023-08-15,114.4
2023-08-16,112.92
2023-08-17,112.36
2023-08-18,111.68
2023-08-19,111.68
2023-08-20,111.68
2023-08-21,111.97
2023-08-22,112.81
2023-08-23,116.34
2023-08-24,115.62
2023-08-25,114.4
2023-08-26,114.4
2023-08-27,114.4
2023-08-28,117.15
2023-08-29,119.19
2023-08-30,119.19
2023-08-31,117.86
2023-09-01,117.38
2023-09-02,117.38
2023-09-03,117.38
2023-09-04,117.38
2023-09-05,114.4
2023-09-06,114.05
2023-09-07,113.2
2023-09-08,113.16
2023-09-09,113.16
2023-09-10,113.16
2023-09-11,114.88
2023-09-12,115.0
2023-09-13,114.68
2023-09-14,116.38
2023-09-15,118.67
2023-09-16,118.67
2023-09-17,118.67
2023-09-18,118.93
2023-09-19,116.94
2023-09-20,118.05
2023-09-21,115.09
2023-09-22,114.58
2023-09-23,114.58
2023-09-24,114.58
2023-09-25,113.41
2023-09-26,110.05
2023-09-27,107.19
2023-09-28,107.86
2023-09-29,107.48
2023-09-30,107.48
2023-10-01,107.48
2023-10-02,103.53
2023-10-03,104.22
2023-10-04,103.31
2023-10-05,104.37
2023-10-06,106.66
2023-10-07,106.66
2023-10-08,106.66
2023-10-09,108.94
2023-10-10,109.85
2023-10-11,112.08
2023-10-12,109.59
2023-10-13,114.35
2023-10-14,114.35
2023-10-15,114.35
2023-10-16,114.73
2023-10-17,117.22
2023-10-18,116.58
2023-10-19,116.48
2023-10-20,116.33
2023-10-21,116.33
2023-10-22,116.33
2023-10-23,115.59
2023-10-24,115.72
2023-10-25,113.83
2023-10-26,112.89
2023-10-27,115.07
2023-10-28,115.07
2023-10-29,115.07
2023-10-30,113.7
2023-10-31,111.25
2023-11-01,110.69
2023-11-02,111.54
2023-11-03,116.25
2023-11-04,116.25
2023-11-05,116.25
2023-11-06,115.05
2023-11-07,112.33
2023-11-08,109.16
2023-11-09,108.89
2023-11-10,107.89
2023-11-11,107.89
2023-11-12,107.89
2023-11-13,106.72
2023-11-14,112.12
2023-11-15,111.58
2023-11-16,113.35
2023-11-17,112.92
2023-11-18,112.92
2023-11-19,112.92
2023-11-20,113.08
2023-11-21,115.48
2023-11-22,116.02
2023-11-23,116.02
2023-11-24,116.67
2023-11-25,116.67
2023-11-26,116.67
2023-11-27,118.57
2023-11-28,123.4
2023-11-29,123.05
2023-11-30,123.35
2023-12-01,125.8
2023-12-02,125.8
2023-12-03,125.8
2023-12-04,122.45
2023-12-05,120.08
2023-12-06,120.0
2023-12-07,119.51
2023-12-08,118.09
2023-12-09,118.09
2023-12-10,118.09
2023-12-11,117.05
2023-12-12,113.93
2023-12-13,121.05
2023-12-14,124.25
2023-12-15,123.76
2023-12-16,123.76
2023-12-17,123.76
2023-12-18,124.19
2023-12-19,127.75
2023-12-20,124.9
2023-12-21,126.95
2023-12-22,127.94
2023-12-23,127.94
2023-12-24,127.94
2023-12-25,127.94
2023-12-26,128.3
2023-12-27,129.58
2023-12-28,126.54
2023-12-29,125.69
2023-12-30,125.69
2023-12-31,125.69
2024-01-01,125.69
2024-01-02,123.59
2024-01-03,120.32
